text,sentiment
get home work not_look forward tomorrow morning oh tomorrow night great,positive
know feel little depressing,negative
feel like romeo juliet bryant wallinwood montagues capulets fb,neutral
schulz lucky u not_park maybe short period really stuff untill wed,positive
sucky day far hope get better,neutral
hot weather freezing oz moment miss summer,negative
im glad call cause relationship clear happy hear voice eventhough absent school,positive
uhoooh throat scratchy,negative
man wont home co host xoblair,negative
haha yeah constant,positive
didnt devos hopefully day doesnt suck,positive
see christoph please tell lunch pack morning leave fridge,neutral
not_i would like yesterday talk alyso stoner xd benton send private messae coment,positive
hahaha wont tell,neutral
ughhhhhhhhhhhh,negative
get much gray hair sudden order garnier roast coffee drugstorecom well see go,neutral
n't know gon na lame fridaay maybe see besties,neutral
geez u obvious,neutral
may suggest,neutral
lmfaaoooo watch pink videoyou know well love itsoooo laugh loud,positive
laugh loud thats hubby think wife nut,negative
apparently even novell moonlight doesnt work jaunty,negative
people mustache get super power mustaches not_fair,negative
get three shot today ca n't lift arm,neutral
bad day get worse,negative
wake im starving,neutral
reason corona light taste much better alone,positive
let right one aparently drag hell also horrible cat nastiness,neutral
happy mother day okseriouslygood night,positive
try recover photo problem window xd card result shot half visible microsoft,negative
well,neutral
ï¿½anisalovesu upsetespecially fear wont get jared hug tomorrow,neutral
wish could listen im canada website wont let,negative
not_a yet would like know okay mum ask mumm hopefuly gon na tell u soon,positive
guess not_interested,negative
hate funeral,negative
sun melbourne happy mother day mum,positive
n't know mean sorry,negative
saw walk back starbucks orange beetle,neutral
laugh loud yea know im almost semester week yay,neutral
get back grandparent suprise anniversary partyit sooooo much fun,positive
early,neutral
wish blog work properly great followfriday blog post want showcase,positive
mmmm sound tasty spice rum earlier yummmmmyyyy also herb always good although better share,positive
oh not_opera not_google friendly weeps,negative
well another family choose child interview back look another kid,neutral
also like aasman ke paar shaayad,positive
hate bleech mess black outfit,negative
spend whole dream cook delicious meal wake get try,neutral
ship land,neutral
kyle make fart noise armpit,neutral
hope school gon na good tomorrow,positive
watch movie book report im lazy read,neutral
go see wolverine lil bit excite,positive
feel like cause couldnt sleep last night go sleep n bk soooo tire,negative
bet sexy add u myspace,neutral
dye hair,neutral
mean monday take test monday please please,neutral
need blackberry,negative
find book start real paperbound journal tonight annoy zit lip make look like herpes,negative
fantastic day az sun,positive
like mine green somehow doesnt taste minty otherwise heh heh,neutral
scratchy scratchy throat warm fluid need,negative
sweet saw last year kenny sugarland kenny year see love gknight,positive
get follow one say doesnt talk god peoplei wonder talk goddess people,neutral
wee arr sowbur promiss styoopid fly thing hazzunt kum owt agane itt iz hyding sumware larffing att u,neutral
would like june nineteenth hurry self wait impatiently see wes carr,negative
sometimes hate thats normal n't worry bout,neutral
crow morning,neutral
youre welcome,positive
thanks,positive
dog doggy park,neutral
nice capture,positive
yaaaawwwwnnnn thx bank holiday let see today prepare u,positive
laugh loud thanx,positive
youve ever see way use browser probably like copy run,neutral
try go sleep not_luck think im sick,negative
next song ax ombra mai fï¿½ ï¿½ largo ï¿½ hï¿½ndel,neutral
im hungrydue last night dinneror lack someone take care,neutral
damp weather,negative
cba ohwell might play another innabit,neutral
cool,positive
new work wellness challenge not_go well commit not_check email pm fail first day twice,negative
good morning tweeps monday get way soon hope good one least good get monday,positive
whew finally edit friendster account haha oh geez im hungry,negative
aries person something common laugh loud kid,neutral
youre fly nz great way get result aggregate,positive
toast morning,neutral
really suck feel bad least wake eight,negative
rb laugh loud laugh loud good one,positive
hahaooh gorgeous whole weekend follow ouchi blister shoe yesterday,neutral
play mythic brawl order get good screenshot instead get perfection,positive
wan na go car not_here,neutral
find tune sexy smooth lovely day,positive
thank yoou twittertakeover,positive
band work need laptop buy one ill drive shift forever,neutral
thanx thee follow,positive
suprised mom cake present mother day dad buy flower,positive
highnesscrystalmariedon'tluvspiteanymore,neutral
thanks people add skype want add name twitter name yt name blogtv etc,positive
wasssup cocoliciousness know u didnt recognize hows ur daughter,neutral
daughter seperation anxiety intense kill ca n't leave sight without breaking anxiety attack,negative
forget already ate lunch guess im not_go,neutral
yeah know mwan,neutral
gmail,neutral
fml dad didnt leave moneyz wait till get home call finish work,neutral
humira isnt right everyone respond better enbrel ask rheumy not_much longterm test,neutral
nothing yet,neutral
officially apt learn stuff crazy neighbor use live across hallscary,negative
c ive sort operate system apps seperate drive,positive
go estimation,neutral
oh not_just ims also friend im really suck always not_around,negative
dude miss btw name mix damn man save hahaha,negative
shame body waste,negative
loooong weekend inlawing,neutral
didnt realize young advance happy birthday stefan mtfbwy always,positive
sit watch britain get f talent watch small girl cry sad,negative
oh not_oprah jump front,negative
sleep sleep know kid,neutral
cause give reason assume,neutral
thank much nice happy hear voice youve really start something good xo,positive
moment truth im nervous,neutral
make sure word poo ball underbelly suck ball give wk,negative
ooh good thank head bro,positive
agree crazy not_worth block let twitter police know harrassment,negative
need job badly,negative
wow difficult,negative
think study really start take toll,negative
couple hour agoive get sun burn really uncomfortable,negative
miss baby duck,negative
hour refusal upon realisation tomorrows morrissey gig brixton postpone look fwd monthsish,neutral
hate dryer,negative
lambert fan outside u wish could vote adam,neutral
slowly gettin follower vry slowly,neutral
really go chiropractor week today neck hurt bad,negative
watch supernatural boy hunt day haha,neutral
excited camp load people arent thrill fact get sleep tent roll around mud,positive
gon na get find im stayin til,negative
yep one night,neutral
even though everyone want newish song teacher agree old grumpy doesnt like u happy haha,negative
wish well past hour bed proper migraine,negative
teardrop,neutral
time germany go fast day leave hopefully move soon,positive
im try tag picture facebook already tag laugh loud,neutral
run feel great not_fatigue not_speed,positive
wan na go vivid light walk,neutral
reward dinner american dream pizza rooftop terrace perfection get page prospectus,positive
seriously neeed study,positive
wish could go hear mint condition tommorow night,positive
feel good win nice softball champ bring season,positive
good morning driving work,positive
great time six flag yesterday summer friend spend night last night leave im bore,neutral
wow really need fun tonight,positive
find not_one know use twitter,neutral
dee mack talk baby shes almost grow,positive
soupysoup time today heinz cream chicken mushroom yum bbl,neutral
boo didnt answer text,neutral
peep boyfriend miami,neutral
leave get angry teethe pull,negative
pearlman mow love mow,positive
harry bake love cassie youre not_online,positive
dude try vegetarian thing last month good luck go vegan intense good move though,positive
true sad say im glad youll support group,neutral
im go miss miss suhana,negative
need go shop youbut need save money,neutral
always seem know exactly right thing say thanks youregreat,positive
saturday night live minute jimmy still,neutral
make sure call yur mother tell much love tell love bringin world,positive
twpp still nw trend topic,neutral
record new song today u wont hear long time thooo might play show tho comeeeeee,neutral
ew use get suicide mid school mix like soda together drink think remember enjoy,positive
fun show tonight wish could,positive
go near hive theyll tame,negative
know love nicholas braun think hell make okay cameron n't wan na see either,positive
em baby start kindergarten crazy summer go,positive
lucky ca n't see tonight,neutral
emily wish hear,neutral
three hat word see monday,negative
hope itll go quickly possible,positive
sad day beer drinking movie goers speakeasy theater not_more,negative
much pain really n't feel good couldnt eat dinner,negative
youre rightim ive heard song time two,positive
home spend day catch old pal,neutral
people cruel sometimes ca n't imagine star,negative
whoa sack chasing whore soo character say bring back sweet superman,neutral
logically yes find one though always seem see beside motorway ca n't stop,neutral
tweet,neutral
sick home bored want get better already enjoy college grad,negative
philippine tour please please please,neutral
symphonic,neutral
ahh yay youre gon na get,positive
much food today company gill want go home lay sun instead dark probably,neutral
awww didnt see till edwin leave know want forsure tomorrow ill make u new batch,neutral
kinda headache,negative
awethank jon,positive
id love work tell ur friend follow,positive
today line work bluetooth app brief stint uniservity get time tutorial busy bank holiday,neutral
omg watch hollie steel cry painful bgt,negative
make coffee cake mom,neutral
suck print sorry,negative
sunny outside not_one go play,neutral
achieve new appreciation xml build script really painful cumbersome,neutral
finish clean desk least office look empty almost time car fb,neutral
weather suck raining,negative
work soonnnnnn look rly dead today,negative
today first mother day little boy hope youre beautiful mother day,positive
dude youre put final cut pro tell stable,neutral
know mom go monday get change im upset,negative
happy morning sunshine may im drive window singing smiling not_wear shoe im kirsten,positive
vogue model miss rachel merh,neutral
get ta sleep work,neutral
trent reznor liddle beotch doesnt get way could title,neutral
wow person u,positive
miss peanut gallery,negative
watch alien boobie craig rise house early bedtime grown ups,neutral
click check picture angelina go spam site order check go figure,neutral
blake sea water sandbox la cordova ca n't rez object autoreturn min,neutral
emily tonight xd work experience jen im go miss see like everyday,negative
feel slightly sick bgt,negative
okay man hook hand kinda freak right,negative
miss mojokins go not_long enough comment weekend,negative
lebron maybe mvp year like lakers win nba title,positive
ca n't really anything,neutral
sigh sad lonely profession,negative
congrats youre first person ive heardread say today,positive
cherry italian ice fave want get local ritas twitter theyll send daily flavor,positive
cute kitty,positive
heyya guy anyone know give formula create sudoku please help,neutral
pretty good actually lame episode otherwise good give try,neutral
watchin family guy,neutral
oh not_fair thats hour,negative
anytime loveyou look beautiful next time nyc hopefully link enjoy evening,positive
make cake mi madre im goooooddd,positive
go hike today,neutral
turn back time make didnt hurt knee bad come mine never not_be ignore,neutral
go shower ffaf distraaaaacting,negative
im clean listen fiona apple birthday party ca n't believe im already,neutral
ah nice back bike commute although three day google sez call quadriceps literally scream gah,neutral
mother day good,positive
want woosoo like plz gant wait knowing shes close drive nutts,neutral
aww noooo doesnt sound great,negative
early morning rb,neutral
one twitter drive although iphone keypad suck drive type,negative
doesnt need darn watch language thing never not_stop map u u live boonies,neutral
miss much work ca n't spend time get pay laugh loud,neutral
laugh loud not_gross theyre gross,neutral
sorry blokey hr later im still hold ur fluffy towel dash hope u find mean dry ur self,neutral
feel pretty good morning let hope last day,positive
radio,neutral
tummy hurt,negative
back london catch tv sleep day,neutral
make sense greatfirewallofchinaorg site test whether site block china block china get others,neutral
follow friday follow people follower follow woot followfriday,neutral
thats not_helpful least know youve get place secure already thing n't pan finger cross,neutral
u kk thanks,positive
aww thats cute,positive
hi teach chinese lesson youtube feel free look,neutral
record acoustic track sexy kid,neutral
pee,neutral
wow nowyour really kickin careys butt competition see soon,positive
oh dear hope feel better soon get nice hot chicken soup,positive
know load others leave,neutral
morning,neutral
twitter seat exam hall start pray seat bless oh wisdom flow whee,positive
gorgeous day hash around waterley bottom wonderful name village quiz mistressing porto evening,positive
another lake park kid go tulane im not_unique anymore,negative
welcome glasgow felix sorry ca n't tonight,negative
thats think time gon na,neutral
anywho im early night good night twitter world,neutral
im not_get treatment gon na hang pool hot tub,negative
since travel quite often use online travel sit would love feedback ixigocom,positive
good stuff smile back wont go concert wish could instead work music fail laugh loud x,positive
fault didnt make u leave,negative
happy birthday sorry blank one sister mess,negative
appreciation lunch work good food suck day laugh loud,neutral
tgif resto home dayuummm expensive,negative
seriously want pug buy one,neutral
finish read chuck palahniuks pygmy kind hat im really disappointed pretty high hope one,negative
play ball park coach youngster fundamental goin home steak lobster word,neutral
googled mother day phew u uk different date learn something new every day,neutral
must time month water eye speciaal voor zo vind ik ze wï¿½l leuk,neutral
x butbutbuttt reply load,neutral
rid daddy bike yes man bike convenient not_in dark without glass scar survive haha,negative
upset mom hospital,negative
new kirk thats new kirk,neutral
miss nipissing pita good thing weve get euphoria barrie cause would never not_survive summer without pita smoothy,positive
heyyyyy u english fan want signing,neutral
love friend drew fun tonight,positive
j think although think ignore not_a good day,negative
annoy gear ill take hand,negative
back hurt heating pad stupid ladder collapse make fall backbum,negative
youre third person ask mon afternoon im sorry im help tutor friend,neutral
im go bed nighttt nighttt xxo ilys,neutral
gon na laundrynever laundry hotel beforei miss reven though ignore even check,negative
ewww print new id badge thingie work n eww picture take many n ugly,negative
bye people,neutral
thanks ok hope tweet road,positive
amichael cute thanks share please direct message go bed james know want,positive
saw ghost girlfriend past bf movie predictable funny love,positive
agree guy rock,positive
thanks ill cross finger rain stop,positive
awake ca n't sleep,negative
stock tonight,neutral
good morning,positive
anyone else problem access account info istore ca n't buy music ca n't look account,negative
frame damage car could total,negative
shopping keswick,neutral
rain go,neutral
apuya hey hey andrew haha p well happy mother day mum,positive
realize get arrest public disturbance oh well ill take chance,neutral
want boo btw love fhnixons post hilarious,positive
yeah right politician start use upload pic lot inside story,neutral
ugh soooo much work today try make train game look like hour sunday office,negative
ur leave week know n't see u everyday like fact ur city,neutral
fantastic day amazing girl wish sara didnt go home fb,positive
soim guess not_bgn,neutral
ow okay good youre better,positive
breannarose fuuuuuuck idk andy get youuuu,negative
peter bar owner work way beersall belgian coffin drinker mort subite,neutral
doesnt look good go burn lampions,negative
mouth hurt wish could cut head,negative
bacoor wahaha may wifi toinks new hair wiih short short,neutral
oh antiboyle didnt work either never not_too much bad thing eh uk eh,negative
bloggingits new passion,positive
im sorry arent good day cheer though day doesnt define,neutral
not_but check get laugh loud ok go live minute everything fine,positive
trailer remove look see find somewhere,neutral
dream u didnt like,negative
yes want meet,neutral
make sure practice hoop today,positive
ugh still sick calgary cold last forever,negative
oh coo suppose intern dangit sat hows intern life haha,neutral
tehe,neutral
see friend coursework weekend work happy,positive
ha knowim ashamed,negative
im life preserver sorry consolation youre something really special tomorrow,neutral
california wait every little thing get ta right putz adoro essa banda,neutral
mmmmm hair smell guuud wonder pantien,positive
shopping tomorrow think yes,neutral
yeah sabrinathough keep think something else cary grant aint shabby either bring baby,negative
tfarp take moment translate nod youre quite welcome also dear probably best stay,positive
thanks followfriday,positive
awww tell would change suggest try get touch w dres people laugh loud,positive
go one n smirker cheer dave aka jak aka best chest ever,positive
laugh loud,positive
thanks try,positive
colleen really sincerely hop get better soon,positive
beer pong dubstep good nite,positive
uncontrolable hicups right hurt,negative
stop work someone play,neutral
not_im not_go wknd sorry take forever respond realize twitter isnt txting ur update,negative
think,neutral
go,neutral
henrie shoutout holland please get lot fan,positive
watch baby snl baby look greaaaaat,positive
mcfly parody chris moyles,neutral
always brighten week,positive
happy imma get see lovely lady,positive
watch look star mom lub ah c hehe,neutral
oh yah angel come harrassed try break house laugh loud burgen,negative
thnx follow,positive
finish emergency neil strauss another great read neil congrats miss way,neutral
not_feelin right hope feeling pass stupid stomach,negative
ca n't seem find send please oh tag laugh loud,negative
bad time everyone whywhywhy write essay not_fair,negative
think end remember poetry feeling behind something far important name,positive
wish could still drink two bad night white wine london sick almost week,negative
joshthomas come sydney cool meet id love meet youre favourite comedian,positive
happy mother day mom,positive
song glad wondrous beltaine mine quiet yet sync season miss,neutral
adem adem uit,neutral
n't vcr,neutral
stephen king fo sho,neutral
finally friday still ground till next thursday stereos life,positive
not_tourney til next weekend,neutral
mcfly evolution time round,neutral
hang weekend,neutral
join twitter reeeally n't understand use laugh loud,neutral
omg patron favs im jealous ica n't make serious im alabama visitin fam,negative
decide ca n't stand alltop spam longer,negative
welcome deserve followfriday every day,positive
oh man sell step away desk min right,neutral
happy mother day mom mom,positive
wow weather amaze today,positive
fun like beach tend get really dark fast,positive
bahah would really funny would really cut haha,positive
really mad forget may deadline mile award trip south america,negative
lurveeeeee,positive
proud cg take yr making get number spot gnight twitter bugstime read sleep,neutral
hey get present morning hope u like,neutral
saimee july underage festival august find others far away,neutral
want,neutral
reject,negative
finally school day end friday friday friday raining outside,neutral
not_joke puppy maddie look exactly like maui shes cute,positive
kid awesome today love face painting,positive
almost time say good bye twimulations ill miss tweeps,negative
hey arthur forget say thanks flag proudly display bedroom door witty one,positive
download eeecontrol eee pc today play setting make fan kick,neutral
congrats mollie wish could get ticket,neutral
right army wife germany ca n't stand not_be summer,negative
oh not_i want go sea today sun not_here sigh,negative
good mix developer content developer provider venture folk,positive
,neutral
deep fry drumstick not_a good think would,negative
awesome run report see bald eagle lighthouse hangout last ran discovery park,positive
laugh loud thanks babe,positive
weather awful want curl read book day,negative
lipz n't know havent heard lorraine recently,neutral
go sleep good night everyone,positive
andjay hi job,negative
laugh got strawberry,neutral
im cooking meatball lunch yaaayyy,positive
not_tango icon revision,neutral
anyone know watch prison break tv movie not_on itunes,neutral
shes la want sun today apparently la isnt cooperate,negative
sittin bed fall asleep,neutral
watch jay leno tonite last day tonight show host,neutral
respond question thou shall blog appreciate community,positive
knowww yur mother doesnt want take movie,negative
learn lesson hard way lose usb stick backup month old,negative
michael scholfield not_more dead sorry,negative
want go,neutral
ok drs today get essay x howre x,neutral
go forgo pub night wife tonight tough week u neither not_be really plus neighbor die,negative
love youuuuu nick santino thirteen dayssss,positive
ca n't believe venus lose real shame smh think im get sick week doesnt look like wknd gona better,negative
sittin home watchin monster inlaw waitin pizza yum yum,positive
hope get job steady income start eat well cheap food horrible,neutral
wish could bed nine never not_make sleepdeprived much,neutral
seriously increasingly good night stoke life couldnt happier goodnight,positive
spend night finally relax nogard wow finish work need take small break art really miss,negative
im hear ya dude ca n't either,neutral
sorry weather hopefully youre not_in hour wx delay bwi,negative
supernatural good love,positive
sorry bit negative,negative
yes go marine protect serve leave,neutral
school trip phuket thailand living singapore,neutral
cereal usually like,neutral
haha cute p thanks reply make day haha,positive
sleep yesterday,neutral
unpleasant talk wnlaws look,negative
ehbut ill pick cotton soonneed suppliment income,neutral
im sure people hangover glad know im hangover free hope youre not_too fragile morning,neutral
tough want hug like,negative
ohmy foot hurt minute take though,negative
lmao bake nonstop sound like yummy fun,positive
every right feel like crazy fanboy jason mraz james morrison jealousy tangible,neutral
guy awesome couple,positive
may pc love anyway maybe someday become mac,positive
well im little bit sick im fine,neutral
go want go bro switch time,neutral
workin ur crazy sched tiringits get ta hard famous jus kno u bazillionz fan supprtin u,neutral
hum bill bailey,neutral
n't know time go fast,negative
true clean clothes good thing enjoy day love new avatar btw,positive
see suck right problem churchsunday race conflict thats god give u dvr niffer,negative
go rye house speedway,neutral
thanks much discount code look forward try pad,positive
feel like watch twilight enjoy,positive
feel actual heartbreak gate last night x,negative
omg july last day,neutral
wedding,neutral
reece naw miss video cool look sexy,positive
momentum work jeff hard time,negative
look like hide money offshore bank account behalf lastfm,neutral
extra justin rutledge ticket mod club tonight,neutral
happy birthday hope well great birthday day,positive
name chad wont tomorrow,neutral
aww type beyond graveimpressive,positive
school absolutely sick want go home write geography best,negative
catch lunch today correct stalk,positive
resort wear today cause havent finish laundry laugh loud,positive
could another one back work monday week not_good,negative
find minute ago mama say speech still slur seem ok,neutral
sorry hear man ca n't reach heart go family,negative
suchatease,neutral
today suck ï¿½you katey break yah kate break itï¿½s awful nd vodka,negative
update maven dependency know good thing would better happen asleep,positive
argtried one pic move fail save itthen never not_show foot purty,neutral
yeah dad call taltal take aol back add k last name coincidence tal talk,neutral
n't wan na go back work sleepy time,negative
nkotb world best place,positive
pinkberry,neutral
jealous,negative
almost make read comedy outlet headline weekend take extra hour traffic basically double time,negative
ti cooli still stand former proclamation im stubborn way rebellioustwitwhoknowsacoolcatcook laugh loud,neutral
congratuations sweetie,positive
ohh yeahh showcase say artist outta town keep post next one,neutral
huh pr,neutral
hey thanks follow wow excite new tweet,positive
new picture isnt work,negative
im hungry single heading golfing range soon,negative
cool sound luv drama love game doesnt work ur myspace wish good luck xoxo spain,positive
tbones go sleep think gon na join,neutral
kid look incredible lay swim lot stick cold nyc,positive
ca n't upload picture already hate twitter,negative
know im slow horrible n't tell,negative
congrats hey,positive
laugh loud u better hurry cause run late whats breakfast,neutral
go thru bill,neutral
not_omelette today dim sum tomorrow feast,neutral
thinking get new dvd csi ca n't wait get laptop,neutral
go help lancey cook,positive
heard grapevine might see around today look forward meeting,positive
diggin moustachio look good daddio,positive
im good thanks good drive careful blackberry n't want get scream,positive
hiya hows week try dm not_follow x,neutral
fantastic idea man ill end lonely tourist go home,neutral
happy mother day,neutral
im get ready skill ca n't wait fail bio final yay ugh honor class suckkkk,negative
sorry take twitter ican'tsleepness,negative
miss vlogcandy,negative
class almostt,neutral
another day casino de montreal,neutral
morning bank holiday monday sun go typical hospital knee training another bust day,neutral
sadden youre youtube change like every youtube kid use different,negative
find strep,neutral
wish could spend last weekend high school student burbank everyone not_fly dc,positive
thanks add glad,positive
right ugghhh,negative
nice weatherlooks like go rain delhi,positive
paranoid actually like better perform live rather studio version,neutral
go lumberjack party,neutral
thank opendns save comcasts crappy dns server internet back par finally,neutral
believe,neutral
shower doctor appointment,neutral
hahahah use say,positive
homework bound whole weekend not_so fun,negative
good luck whit show tonite man ill watch,positive
bus stalk right nowi soo wish still meet today,neutral
finally get saynow account run yayy jbs get canadian saynow number anyone else use landline phone call,neutral
hate pain,negative
miss go killer soon excited remember need ask,neutral
woke upfor manage sleep go lunch later back essay,neutral
r drivein srsly jealous never not_ever one one rd not_longer operational,negative
chill da rihanna bob id not_problem laugh loud r u school summer,neutral
wonder hard concentrate,negative
feel bad everything stupid harsh fault know im sorry savvy love,negative
good morning eat pizza breakfast,positive
city love tucson miserable,neutral
ca n't keep eye openshuts eye,neutral
woman transfer first impression sexualmaternal onto less threatening man weak,negative
sorry bad week feel like could get good sleep would much better fog,negative
goodnight twitterville really enjoy pearl harbor sleep cuddle hot man good dream tonight xoxo,neutral
ca n't believe weekend already time go nice day fam today mum good day,positive
brand iron drea white boubous get haha crunk next couple hour haha fun time,positive
hang bryanthailee possibly lafayette tonight nd n't know keep update follower,neutral
happy mother day mom love yew,positive
new picture pretty reflect sunlight leaf,positive
wow pm roll around really fast accomplish one thing list today,negative
yeah give something useless crib abt,negative
worst day ever noon,negative
video challenge shot notsoscenic conference room not_mic thank love grant park house dog,positive
blue oyster cult love night thats friend around,positive
haha not_invite,negative
phatass hopefully youre meeting,positive
hope ur havin nice friday feel past week since dog pass,neutral
baby im maryland im not_gon na make see ur sexy next sat camden vipcome early n hang,positive
wear pair trouser loose last year tight year,negative
wont make u cry,positive
get sniffle n't want get sick n't need,positive
maybe cell phone soon yeah,positive
not_way didnt know sing rof thats without doubt fave idol thus far eepfangirl moment,positive
contact parent grrr,negative
im soo jealous right,negative
hollowbabeshere come utter shite bgt completely agree,negative
miss bffls miss friday night date hot dog dinner know evening hold,negative
good girl nevah tell hahahahaha hope good weekend,positive
bee busy talk buddy yahoo,neutral
punch shape card card card card ask people free card,neutral
wake bank holiday monday not_college get text tom via jason mobile earlier today im hop turn,positive
contand go waste not_one like stale sweet remind cute song call stale cupcake laugh loud,neutral
mcfly cool nice bless ya upto love l xoxox,positive
keep suggestion comingi love classic,positive
ca n't sleep couldnt sleep last night eather wabble wabble,negative
tonight bed enterprise mr kirk,neutral
go take last final wish luck,positive
realize im go home week today,neutral
girlfriend still like sesame st,positive
time always seem fly im wade weird like lot,neutral
plant flovers school garden yr oldvery mucky great fun,positive
aww tell follow,neutral
creepy laugh loudipop guy play head esploder,neutral
wish could choose band played trash june,positive
sound great im look forward,positive
think boat sail friend ccos month ago wish luck though,positive
awwww bless need another chance,positive
nto milk deffo,neutral
state cheese yum green moocow pasture everywhere super friendly lutheran,positive
bye bye lovely tweeter especially follower,positive
head home sacramento continue write window server unleashed book weekend sigh window,neutral
win im awesome,positive
class back hour,neutral
yucky time bring vaccuum go war house always spider reason not_cool,negative
problem seem fix thank,positive
hmm new sport catalog card jitsu update not_appear,neutral
not_get post post topic,neutral
oh thank alllll put ur follow friday new follower usually todayim tired,negative
gon na go brother show still feel like poo,negative
comment new myspace picture plz,neutral
im not_feel inspired todayi suppose bham concert tonight,negative
hey ill sa maybe cross highway grab lunch,neutral
battery go die,neutral
happy mother day mommy,positive
write get less idea every day every day,negative
back home phone grandma love miss,neutral
haha love hmm laugh loud im need good band,positive
ready costume make theres not_one,neutral
happy birthday mommy,positive
kind swear im always feed someone,positive
good tip bos would read exactly im suppose would know project,positive
star trek really good love,positive
way work work suck big time,negative
finally gon na get sum sleep concert crazy god bless minister,positive
rf target dndn near day low,neutral
sf felt way intense tonight hope doesnt keep upset not_hang pearl,negative
oh could well last post,neutral
tooo fly boo,neutral
time,neutral
school wish would end already,positive
former pawnshop jimi hendrix get guitar seattle check cash joint,neutral
thats sad kind mess get weekend,negative
matter heart complicate,negative
haha im bore think ill go watch movie bbl,negative
bummed not_babydoll spaghettistrap tank three wolf moon tshirts love meme hate wear fabric box,neutral
oh yeahyour mom tell think mean twitter id confused suck sick,negative
aint happy go lucky today world n't feel ugly,neutral
editor read nod writer read take note,neutral
shift time bbye biochem waaaaahhhhhh,neutral
happy mother day havent get mom present yet print amazon gift card,positive
thanks follow thing join interest,positive
jen laugh loud know seem whole fabric earth unravel laugh loud guess people never not_see bambi,neutral
im go work,neutral
decide id probably forget pocket sit accident,neutral
im member street,neutral
laugh loud go place called frosties soft play centre knackers laugh loud get peace gym laugh loud,neutral
fell sidewalk harvard square stupid cobblestone hand hurt,negative
aw honey relaxin thats probably best,positive
coooooooool yes ciwwaf awesome,positive
either inerne mind im pretty sure internet,negative
dog sick love little doggie usually keen happy doesnt even want go run forest today,neutral
mitchell ive never not_be opera beforedo n't think,neutral
suppose cominglife get way laugh loud give friend wild time,neutral
ready weekend sad office tomorrow morning,negative
im work miss everythin yesterday n't know wot anybody,negative
sad greg pritchard didnt make final britain get talent coz soooo deserve,negative
let chat,neutral
control tweet u post facebook use hashtag check awesome easy app,positive
baby not_herself recieving vaccine,neutral
head home could really without bang head way bus,negative
distel maybe u natural ability language envy u,negative
cat go,negative
good friend miss much,neutral
boy leave summer go stay grandparent im gon na miss,negative
look though sick little friend,negative
bore,neutral
past already spoil rotton,negative
wheniwerealad explain work laugh loud not_rude explanation pleeezzze,neutral
insomnia finest go bed fully awake grrr anyone want call mee,negative
read picture dorian gray oscar wilde english not_easy try make,neutral
worst dream ever lakers lose zip courney cox mohawk wtf,negative
oooh battlestar galactica channel rebellion episode man feel sad become gaeta like,neutral
sorry didnt mean hope think positivly look back,negative
chillin w homies,positive
dude youre always go midnight screening xd wish live city well tmrw rubbish,neutral
n't think go well min,negative
really want blackberry sidekick hella wack night,negative
im glad like want,positive
sorry couldnt fit hals name,negative
watch new tmobile advert youtube love hey jude,positive
long take learn song,neutral
man suck,negative
morning world hello bank holiday cold grey rainy feel like colour thanks might,positive
get back pool need ice knee,neutral
mel shud house,neutral
laugh loud ik figure ive keep year without need virus software get fixed sigh,neutral
soo happy thank baby best day life,positive
laugh loud leave,neutral
aww okwe end get later expect didnt goi would call able c u n austin,neutral
well make feel better stay even later watch daily show lay guilt,neutral
not_a problem si respect due,positive
sure entire blogroll terribly update could motivate update redo,positive
anstee hope expo would amazing im try hard make perfection,positive
im really nervous give speech wedding tomorrow,negative
nm dang get ta bounce like minute im chill usual,positive
ooopps slept really best get get shizzle gear,neutral
review thanks,positive
sit wonder wish bunch stuff never not_be,neutral
shower time,neutral
lousy landlord need focus kid pack ca n't nevermind sew sleep bag,negative
go soon hop hear late nite humor,positive
full not_more food tonight n't want not_cake ice cream party,neutral
suck mama,negative
wish werent go venue vancouver,neutral
absolutely incredible official favorite jonas frankie man,positive
happy birthday,positive
didnt mind movie may im not_that big fangirl,neutral
im not_go sadly maybe next year eh,negative
surgery effin hurt,negative
please id love egg bacon ranch bed give birth time year,positive
bored need people rsmv jagex doesnt let u say rsmv unless first word u say sentence sad,negative
kind bug house n't know,negative
almost lose phone,neutral
thank mr president,positive
ooo showing french skill laugh loud thing good lovely weather outside hows u,positive
star trek movie amaze omg everyone go see,positive
happy birthday,positive
anotha day work not_lookin forward hate closin fri,negative
im enter two month studyexam period awesome see flip side,positive
best check ca n't really see anything,positive
work home office today catch everything except twitter,neutral
lil cuz come round today aww haha,positive
stomach eff hurt sadly therell not_gym class afternoon,negative
get ta go im go circus real circus not_britneys tour sadly,negative
next single hey ladyok million dollar,neutral
goodmorning twitter bug happy monday today mark first official day first fulltime job time get ready,positive
class school time work wed jade come ima get antioch amtrak,negative
backbeen feel ill extremely busy week happy mother day mamas,neutral
old dead go,negative
forever right flywithmeobsessive im cry,negative
sound like muffler bearing go bad,negative
not_credit leave mobile sorry brit pounce back thanksss tania epic photoshoot,neutral
day like today would wear short tshirt im dhq office wear,neutral
go sleep wake december house organize baby feel like poo today,negative
think make turn phone ill see,neutral
wish company,negative
aaaawww would u like alcoholic beverage choice,neutral
power cut thats go,negative
look like get cloudy outside nothing tonight boo friday,negative
